economic_exposure_family_id,economic_exposure_name,universe_tier,opportunity_type,asset_class,sub_asset_class,a0_primary_geography,a0_geographic_scope,sector,industry,economic_theme,deepvue_theme,intended_rotation_role,primary_rotation_role,rotation_pool_id,primary_competition_pool_id,parent_exposure_family_id,secondary_parent_exposure_family_id,overlap_cluster_id,overlap_basis,breadth_level,economic_beta_cluster,selectable_flag,benchmark_only_flag,primary_equity_competition_flag,research_data_ready_flag,a2_lineage_validation_status,a2_lineage_issue,valid_return_observations,first_valid_date,last_valid_date,research_maturity,shorter_than_504_observations,recovered_by_dynamic_admission,data_quality_flags,dynamic_admission_rule,current_eligibility_back_projected,warning,raw_earliest_valid_21_session_signal_date,earliest_valid_21_session_signal_date,eligible_21_session_research,raw_earliest_valid_42_session_signal_date,earliest_valid_42_session_signal_date,eligible_42_session_research,raw_earliest_valid_63_session_signal_date,earliest_valid_63_session_signal_date,eligible_63_session_research,raw_earliest_valid_126_session_signal_date,earliest_valid_126_session_signal_date,eligible_126_session_research,raw_earliest_valid_252_session_signal_date,earliest_valid_252_session_signal_date,eligible_252_session_research
EUROPE_TECHNOLOGY,Broad global technology sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,TECHNOLOGY,BROAD_SECTOR,NOT_APPLICABLE,NOT_APPLICABLE,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,BROAD_SECTOR,BETA_TECHNOLOGY,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history uses an MSCI World Technology fund,2568,2016-05-09,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2016-06-07,,NO,2016-07-06,,NO,2016-08-04,,NO,2016-11-02,,NO,2017-05-09,,NO
EUROPE_UTILITIES,Broad global utilities sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,UTILITIES,BROAD_SECTOR,NOT_APPLICABLE,Utilities,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_UTILITIES_AND_WATER,COMMON_SECTOR_OR_INFRASTRUCTURE_BETA,BROAD_SECTOR,BETA_UTILITIES,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history uses an MSCI World Utilities fund,2545,2016-05-09,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2016-06-07,,NO,2016-07-06,,NO,2016-08-04,,NO,2016-11-02,,NO,2017-05-09,,NO
EUROZONE,Eurozone equities,CORE,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,EUROZONE,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,POOL_BROAD_GEOGRAPHY_PRIMARY,EUROPE_BROAD,NOT_APPLICABLE,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_EUROPE_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3415,2011-03-16,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2012-04-18,2012-04-18,YES,2012-06-29,2012-06-29,YES,2012-10-12,2012-10-12,YES,2013-07-04,2013-07-04,YES,2014-01-02,2014-01-02,YES
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,EUROZONE,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_HEDGED_GEOGRAPHY_VARIANTS,POOL_HEDGED_GEOGRAPHY_VARIANTS,EUROZONE,NOT_APPLICABLE,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_EUROPE_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,2525,2015-07-22,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2015-10-28,2015-10-28,YES,2015-12-11,2015-12-11,YES,2016-01-20,2016-01-20,YES,2016-06-13,2016-06-13,YES,2017-03-01,2017-03-01,YES
EUR_OVERNIGHT_CASH,Euro overnight-rate exposure,EXTENDED,DEFENSIVE_DIVERSIFIER,CASH_LIKE,OVERNIGHT_RATE,EUROZONE,REGION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DEFENSIVE_REFERENCE,DEFENSIVE_REFERENCE,POOL_DEFENSIVE_CASH_LIKE,POOL_DEFENSIVE_CASH_LIKE,NOT_APPLICABLE,NOT_APPLICABLE,OVL_CASH_AND_SHORT_RATES,COMMON_RATE_BETA,DEFENSIVE_ASSET,BETA_CASH_RATE,YES,NO,NO,YES,PASS,NOT_APPLICABLE,2863,2015-03-04,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2015-04-01,2015-04-01,YES,2015-05-05,2015-05-05,YES,2015-06-04,2015-06-04,YES,2015-09-02,2015-09-02,YES,2016-03-07,2016-03-07,YES
GBP_CORPORATE_IG,Sterling investment-grade corporate bonds,CORE,DEFENSIVE_DIVERSIFIER,CORPORATE_BOND,INVESTMENT_GRADE_CORPORATE_BOND,GLOBAL,GBP_ISSUANCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DEFENSIVE_REFERENCE,DEFENSIVE_REFERENCE,POOL_DEFENSIVE_FIXED_INCOME,POOL_DEFENSIVE_FIXED_INCOME,NOT_APPLICABLE,NOT_APPLICABLE,OVL_STERLING_FIXED_INCOME,COMMON_DURATION_CREDIT_BETA,DEFENSIVE_ASSET,BETA_FIXED_INCOME,YES,NO,NO,YES,PASS,NOT_APPLICABLE,5620,2004-04-14,2026-08-20,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2004-05-13,2004-05-13,YES,2004-06-14,2004-06-14,YES,2004-07-13,2004-07-13,YES,2004-10-11,2004-10-11,YES,2005-04-12,2005-04-12,YES
GBP_OVERNIGHT_CASH,Sterling overnight-rate exposure,CORE,DEFENSIVE_DIVERSIFIER,CASH_LIKE,OVERNIGHT_RATE,UNITED_KINGDOM,SINGLE_COUNTRY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DEFENSIVE_REFERENCE,INSUFFICIENT_DATA,POOL_DEFENSIVE_CASH_LIKE,POOL_INSUFFICIENT_DATA,ACTUAL_GBP_CASH,NOT_APPLICABLE,OVL_CASH_AND_SHORT_RATES,COMMON_RATE_BETA,DEFENSIVE_ASSET,BETA_CASH_RATE,NO,NO,NO,NO,NO_USABLE_HISTORY,NO_USABLE_IMPLEMENTATION_HISTORY,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE_NO_USABLE_HISTORY,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE;NO_USABLE_HISTORY,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,,,NO,,,NO,,,NO,,,NO,,,NO
GLOBAL_AEROSPACE_DEFENCE,Aerospace and defence businesses,EXTENDED,THEMATIC,EQUITY,INDUSTRY_EQUITY,GLOBAL,GLOBAL,INDUSTRIALS,AEROSPACE_AND_DEFENCE,DEFENCE,Aerospace,THEME_ROTATION,THEME_ROTATION,POOL_GLOBAL_THEMES,POOL_GLOBAL_THEMES,GLOBAL_INDUSTRIALS,NOT_APPLICABLE,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_INDUSTRIALS,YES,NO,YES,YES,PASS,NOT_APPLICABLE,484,2024-09-17,2026-08-21,NEW,YES,YES,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2024-10-15,2024-10-15,YES,2024-11-13,2024-11-13,YES,2024-12-12,2024-12-12,YES,2025-03-14,2025-03-14,YES,2025-09-18,2025-09-18,YES
GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,Global aggregate bonds hedged to sterling,CORE,DEFENSIVE_DIVERSIFIER,AGGREGATE_BOND,GLOBAL_AGGREGATE_BOND,GLOBAL,GLOBAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DEFENSIVE_REFERENCE,DEFENSIVE_REFERENCE,POOL_DEFENSIVE_FIXED_INCOME,POOL_DEFENSIVE_FIXED_INCOME,NOT_APPLICABLE,NOT_APPLICABLE,OVL_STERLING_FIXED_INCOME,COMMON_DURATION_CREDIT_BETA,DEFENSIVE_ASSET,BETA_FIXED_INCOME,YES,NO,NO,YES,PASS,NOT_APPLICABLE,2177,2017-11-28,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2017-12-28,2017-12-28,YES,2018-01-29,2018-01-29,YES,2018-02-27,2018-02-27,YES,2018-06-04,2018-06-04,YES,2018-11-29,2018-11-29,YES
GLOBAL_AGRIBUSINESS,Agricultural inputs and food value chain,EXPERIMENTAL,THEMATIC,EQUITY,THEMATIC_EQUITY,GLOBAL,GLOBAL,CONSUMER_STAPLES,AGRIBUSINESS,AGRIBUSINESS,NOT_APPLICABLE,THEME_ROTATION,THEME_ROTATION,POOL_GLOBAL_THEMES,POOL_GLOBAL_THEMES,NOT_APPLICABLE,NOT_APPLICABLE,OVL_CONSUMER_AND_RETAIL,COMMON_SECTOR_BETA,THEME,BETA_CONSUMER_STAPLES,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3620,2011-10-12,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2011-12-19,2011-12-19,YES,2012-02-27,2012-02-27,YES,2012-03-30,2012-03-30,YES,2012-07-25,2012-07-25,YES,2013-03-05,2013-03-05,YES
GLOBAL_AI,Artificial-intelligence value chain,EXPERIMENTAL,THEMATIC,EQUITY,THEMATIC_EQUITY,GLOBAL,GLOBAL,TECHNOLOGY,SOFTWARE_AND_SERVICES,AI,AI,THEME_ROTATION,THEME_ROTATION,POOL_GLOBAL_THEMES,POOL_GLOBAL_THEMES,GLOBAL_TECHNOLOGY,NOT_APPLICABLE,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_TECHNOLOGY,YES,NO,YES,YES,PASS_WITH_SCOPE_LIMITATION,History uses an AI/metaverse/blockchain composite; treat as broad AI-theme implementation with scope warning,979,2022-09-16,2026-08-21,DEVELOPING,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE;SCOPE_LIMITED_IMPLEMENTATION,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2022-10-18,2022-10-18,YES,2022-11-16,2022-11-16,YES,2022-12-15,2022-12-15,YES,2023-03-21,2023-03-21,YES,2023-09-26,2023-09-26,YES
GLOBAL_ALL_WORLD,Developed and emerging all-world equities,CORE,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,GLOBAL,GLOBAL,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BENCHMARK_REFERENCE,BENCHMARK_REFERENCE,POOL_GLOBAL_BENCHMARK_REFERENCES,POOL_GLOBAL_BENCHMARK_REFERENCES,NOT_APPLICABLE,NOT_APPLICABLE,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_BENCHMARK,BETA_GLOBAL_OR_OTHER_EQUITY,NO,YES,NO,YES,PASS,NOT_APPLICABLE,3569,2012-05-28,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2012-06-27,2012-06-27,YES,2012-07-26,2012-07-26,YES,2012-08-24,2012-08-24,YES,2012-11-22,2012-11-22,YES,2013-05-28,2013-05-28,YES
GLOBAL_BANKS,Global banking industry,EXTENDED,SECTOR_INDUSTRY,EQUITY,INDUSTRY_EQUITY,GLOBAL,GLOBAL,FINANCIALS,BANKS,NOT_APPLICABLE,Banks,INDUSTRY_ROTATION,INSUFFICIENT_DATA,POOL_GLOBAL_INDUSTRIES,POOL_INSUFFICIENT_DATA,GLOBAL_FINANCIALS,NOT_APPLICABLE,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,INDUSTRY_OR_SUBSECTOR,BETA_FINANCIALS,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history is principally Europe banks and contains a development-bank bond observation,3370,2011-09-13,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2012-01-12,,NO,2012-03-23,,NO,2012-08-31,,NO,2013-07-25,,NO,2014-01-23,,NO
GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,EXPERIMENTAL,THEMATIC,EQUITY,THEMATIC_EQUITY,GLOBAL,GLOBAL,INDUSTRIALS,BATTERY_AND_EV_VALUE_CHAIN,BATTERY_EV,NOT_APPLICABLE,THEME_ROTATION,THEME_ROTATION,POOL_GLOBAL_THEMES,POOL_GLOBAL_THEMES,GLOBAL_INDUSTRIALS,GLOBAL_MATERIALS,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_INDUSTRIALS,YES,NO,YES,YES,PASS,NOT_APPLICABLE,2141,2018-01-26,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2018-02-23,2018-02-23,YES,2018-03-26,2018-03-26,YES,2018-04-26,2018-04-26,YES,2018-07-30,2018-07-30,YES,2019-01-29,2019-01-29,YES
GLOBAL_BIOTECHNOLOGY,Biotechnology industry,EXTENDED,SECTOR_INDUSTRY,EQUITY,INDUSTRY_EQUITY,GLOBAL,GLOBAL,HEALTHCARE,BIOTECHNOLOGY,BIOTECHNOLOGY,Biotechnology,INDUSTRY_ROTATION,INDUSTRY_ROTATION,POOL_GLOBAL_INDUSTRIES,POOL_GLOBAL_INDUSTRIES,GLOBAL_HEALTHCARE,US_HEALTHCARE,OVL_HEALTHCARE_INNOVATION,STRONG_PARENT_CHILD_OR_INDUSTRY_OVERLAP,INDUSTRY_OR_SUBSECTOR,BETA_HEALTHCARE,YES,NO,YES,YES,PASS_WITH_SCOPE_LIMITATION,Implementations are US-dominant Nasdaq/NYSE Arca biotechnology exposures despite GLOBAL label,2701,2014-11-12,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE;SCOPE_LIMITED_IMPLEMENTATION,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2014-12-10,2014-12-10,YES,2015-01-13,2015-01-13,YES,2015-02-11,2015-02-11,YES,2015-05-14,2015-05-14,YES,2015-11-10,2015-11-10,YES
GLOBAL_CLEAN_ENERGY,Clean-energy value chain,EXPERIMENTAL,THEMATIC,EQUITY,THEMATIC_EQUITY,GLOBAL,GLOBAL,UTILITIES,RENEWABLE_ENERGY,CLEAN_ENERGY,NOT_APPLICABLE,THEME_ROTATION,THEME_ROTATION,POOL_GLOBAL_THEMES,POOL_GLOBAL_THEMES,GLOBAL_UTILITIES,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,COMMON_SECTOR_OR_THEMATIC_BETA,THEME,BETA_UTILITIES,YES,NO,YES,YES,PASS,NOT_APPLICABLE,1445,2020-11-02,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2020-11-30,2020-11-30,YES,2021-01-04,2021-01-04,YES,2021-02-02,2021-02-02,YES,2021-05-06,2021-05-06,YES,2021-11-04,2021-11-04,YES
GLOBAL_CORPORATE_IG_GBP_HEDGED,Global investment-grade corporate bonds hedged to sterling,EXTENDED,DEFENSIVE_DIVERSIFIER,CORPORATE_BOND,INVESTMENT_GRADE_CORPORATE_BOND,GLOBAL,GLOBAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DEFENSIVE_REFERENCE,INSUFFICIENT_DATA,POOL_DEFENSIVE_FIXED_INCOME,POOL_INSUFFICIENT_DATA,NOT_APPLICABLE,NOT_APPLICABLE,OVL_STERLING_FIXED_INCOME,COMMON_DURATION_CREDIT_BETA,DEFENSIVE_ASSET,BETA_FIXED_INCOME,NO,NO,NO,NO,NO_USABLE_HISTORY,NO_USABLE_IMPLEMENTATION_HISTORY,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE_NO_USABLE_HISTORY,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE;NO_USABLE_HISTORY,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,,,NO,,,NO,,,NO,,,NO,,,NO
GLOBAL_CYBERSECURITY,Global cybersecurity businesses,EXTENDED,THEMATIC,EQUITY,THEMATIC_EQUITY,GLOBAL,GLOBAL,TECHNOLOGY,CYBERSECURITY,CYBERSECURITY,Cybersecurity,THEME_ROTATION,THEME_ROTATION,POOL_GLOBAL_THEMES,POOL_GLOBAL_THEMES,GLOBAL_TECHNOLOGY,NOT_APPLICABLE,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_TECHNOLOGY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,1548,2020-06-03,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2020-07-01,2020-07-01,YES,2020-07-30,2020-07-30,YES,2020-09-04,2020-09-04,YES,2020-12-02,2020-12-02,YES,2021-06-10,2021-06-10,YES
GLOBAL_DEVELOPED_WORLD,Broad developed-world equities,CORE,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,DEVELOPED_WORLD,GLOBAL,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BENCHMARK_REFERENCE,BENCHMARK_REFERENCE,POOL_GLOBAL_BENCHMARK_REFERENCES,POOL_GLOBAL_BENCHMARK_REFERENCES,GLOBAL_ALL_WORLD,NOT_APPLICABLE,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_BENCHMARK,BETA_GLOBAL_OR_OTHER_EQUITY,NO,YES,NO,YES,PASS,NOT_APPLICABLE,3874,2010-01-08,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2010-04-09,2010-04-09,YES,2010-08-26,2010-08-26,YES,2010-10-27,2010-10-27,YES,2011-03-23,2011-03-23,YES,2011-11-10,2011-11-10,YES
GLOBAL_DEVELOPED_WORLD_EUR_HEDGED,Broad developed-world equities hedged to EUR,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,DEVELOPED_WORLD,GLOBAL,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BENCHMARK_REFERENCE,BENCHMARK_REFERENCE,POOL_GLOBAL_BENCHMARK_REFERENCES,POOL_GLOBAL_BENCHMARK_REFERENCES,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_BENCHMARK,BETA_GLOBAL_OR_OTHER_EQUITY,NO,YES,NO,YES,PASS,NOT_APPLICABLE,3695,2010-10-26,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2011-01-19,2011-01-19,YES,2011-03-18,2011-03-18,YES,2011-05-04,2011-05-04,YES,2011-09-26,2011-09-26,YES,2012-09-11,2012-09-11,YES
GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,Broad developed-world equities hedged to GBP,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,DEVELOPED_WORLD,GLOBAL,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BENCHMARK_REFERENCE,BENCHMARK_REFERENCE,POOL_GLOBAL_BENCHMARK_REFERENCES,POOL_GLOBAL_BENCHMARK_REFERENCES,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_BENCHMARK,BETA_GLOBAL_OR_OTHER_EQUITY,NO,YES,NO,YES,PASS,NOT_APPLICABLE,3924,2010-11-10,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2011-01-20,2011-01-20,YES,2011-02-18,2011-02-18,YES,2011-03-28,2011-03-28,YES,2011-06-30,2011-06-30,YES,2011-12-28,2011-12-28,YES
GLOBAL_ENERGY,Broad global energy sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,GLOBAL,GLOBAL,ENERGY,BROAD_SECTOR,NOT_APPLICABLE,NOT_APPLICABLE,SECTOR_ROTATION,SECTOR_ROTATION,POOL_GLOBAL_BROAD_SECTORS,POOL_GLOBAL_BROAD_SECTORS,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_ENERGY_AND_TRANSITION,COMMON_SECTOR_OR_THEMATIC_BETA,BROAD_SECTOR,BETA_ENERGY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3663,2012-01-06,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2012-02-03,2012-02-03,YES,2012-03-05,2012-03-05,YES,2012-04-03,2012-04-03,YES,2012-07-10,2012-07-10,YES,2013-01-08,2013-01-08,YES
GLOBAL_FINANCIALS,Broad global financials sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,GLOBAL,GLOBAL,FINANCIALS,BROAD_SECTOR,NOT_APPLICABLE,NOT_APPLICABLE,SECTOR_ROTATION,SECTOR_ROTATION,POOL_GLOBAL_BROAD_SECTORS,POOL_GLOBAL_BROAD_SECTORS,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,BROAD_SECTOR,BETA_FINANCIALS,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3315,2012-04-11,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2013-06-03,2013-06-03,YES,2013-07-02,2013-07-02,YES,2013-07-31,2013-07-31,YES,2013-10-29,2013-10-29,YES,2014-05-07,2014-05-07,YES
